iter	TotalF1:average=Micro	MultiClass
254	0.961131422	0.3173851144
255	0.9628631903	0.315946249
256	0.9632480277	0.314864481
257	0.9638252838	0.3140092137
258	0.9640177025	0.3133135046
259	0.9632480277	0.312616527
260	0.9634404464	0.3119216164
261	0.9640177025	0.3108590856
262	0.9647873773	0.3095928146
263	0.9651722147	0.3085888879
264	0.9655570521	0.3075807332
265	0.9655570521	0.3069423362
266	0.9661343083	0.3059531368
267	0.9659418896	0.3049369021
268	0.9661343083	0.3043044008
269	0.9665191457	0.3029958502
270	0.9676736579	0.302018677
271	0.9680584953	0.301320478
272	0.9686357514	0.3004864679
273	0.9690205888	0.2993194833
274	0.9688281701	0.2985110757
275	0.9694054262	0.2974378576
276	0.9694054262	0.2962034841
277	0.970175101	0.2953640951
278	0.9705599384	0.294623828
279	0.9707523571	0.2939312193
280	0.9713296132	0.2928496393
281	0.9717144506	0.2920467985
282	0.9724841255	0.2909577726
283	0.9726765442	0.2901643038
284	0.9726765442	0.2891747286
285	0.9730613816	0.2883721462
286	0.9738310564	0.2877074185
287	0.9740234751	0.2869068327
288	0.9740234751	0.2863063698
289	0.9742158938	0.2853330253
290	0.9751779873	0.2842531129
291	0.975370406	0.2833900474
292	0.9757552434	0.2828370785
293	0.9767173369	0.2821148507
294	0.9765249182	0.2813294385
295	0.9769097556	0.2803201329
296	0.977294593	0.2793659785
297	0.977294593	0.2789928854
298	0.9778718491	0.2780175913
299	0.9780642678	0.276669345
300	0.9782566865	0.2754343138
301	0.9788339427	0.2741682777
302	0.9788339427	0.2732015334
303	0.9790263614	0.2723357902
304	0.9796036175	0.27158547
305	0.9794111988	0.2711586115
306	0.9796036175	0.2702093427
307	0.9799884549	0.2693220369
308	0.980565711	0.2682241323
309	0.980565711	0.2672068405
310	0.9811429671	0.2668812649
311	0.9809505484	0.2661620671
312	0.9813353858	0.2650409557
313	0.9809505484	0.2643484175
314	0.9809505484	0.2638794439
315	0.9811429671	0.2633153179
316	0.9815278045	0.2626244943
317	0.9822974793	0.2621306228
318	0.9821050606	0.2616732056
319	0.9819126419	0.2611499968
320	0.9817202232	0.2605045297
321	0.9822974793	0.2600803959
322	0.9826823167	0.2590776906
323	0.9822974793	0.2579644008
324	0.9828747354	0.2570107163
325	0.9828747354	0.2561899302
